0,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=1,2020-04-03,More than a million COVID-19 cases reported globally
1,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=1,2020-04-03,More than million Americans filed for unemployment benefits in March
2,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=1,2020-04-03,"Trump says he brokered deal with Saudi Arabia, Russia for huge oil cuts"
3,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=1,2020-04-03,COVID-19 cases surpass one million worldwide
4,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=1,2020-04-02,"Fatalities from COVID-19 Rising Rapidly in UK, Spain; Clinical Trials for Treatment to Get Underway"
5,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=1,2020-04-02,COVID-19 is third biggest cause of death in the U.S.
6,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=1,2020-04-02,"More countries declaring mask-wearing mandatory, following Asia's lead"
7,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=1,2020-04-02,"Japan expands entry ban to cover 1/3 of the world, including S. Korea, U.S. and China"
8,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=1,2020-04-02,Second chartered flight to bring back some 200 S. Korean nationals from virus-stricken Italy
9,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=1,2020-04-02,Healthy people don't need face masks but data and advice can change: WHO
10,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=1,2020-04-02,"Infections will soon reach 1 million with 50,000 deaths: WHO"
11,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=1,2020-04-02, Selfcam WashingD.C. Korean Student
12,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=2,2020-04-03,VJ  Mask Volunteers
13,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=2,2020-04-03,'Walk-Thru' COVID-19 test center at Jamsil Sports Complex
14,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=2,2020-04-03,S. Korea enforces no tolerance policy towards self-quarantine violators
15,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=2,2020-04-03,"S. Korea reports 86 new COVID-19 cases, bringing total to 10,062 as of Friday"
16,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=2,2020-04-03,S. Korea's COVID-19 relief payments to target lower 70% income bracket
17,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=2,2020-04-03,President Moon urges lawmakers to pass bill on April 3 Jeju Incident
18,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=2,2020-04-03,Painful history: Commemorating the April 3rd Jeju Incident
19,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=2,2020-04-03,April 3 Jeju Incident: Significance and Implications
20,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=2,2020-04-03,S. Korea to pay COVID-19 support funds to lowest 70% income bracket based on insurance fees
21,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=2,2020-04-03,"S. Korea surpasses 10,000 COVID-19 cases with 86 new cases on Friday, 5 more deaths"
22,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=2,2020-04-03,President Moon vows support for proposed legislation on April 3 Jeju incident
23,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=2,2020-04-03,President Moon in phone calls with leaders of 15 countries on COVID-19 reponse
24,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=3,2020-04-03,Conglomerates in S. Korea turn to remote recruitment amid COVID-19 outbreak
25,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=3,2020-04-03,In-depth: Global market wrap-up
26,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=3,2020-04-03,South Korea's FX reserves in March see biggest drop in more than 11 years
27,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=3,2020-04-03,COVID-19 pandemic leads to mass layoffs of third-party contractors serving airline carriers
28,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=3,2020-04-03,S. Korea's global businesses close overseas factories over COVID-19 pandemic
29,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=3,2020-04-03,Market wrap-up
30,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=3,2020-04-03,"How adults, children can cope with online learning stress"
31,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=3,2020-04-02,"BOK starts ""unlimited"" QE with 5.2 tril. won in repo bids"
32,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=3,2020-04-02,Hyundai Motor reports 26.2% on-year drop in overseas sales in March due to COVID-19
33,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=3,2020-04-02,In-depth: Global market wrap-up
34,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=3,2020-04-02,S. Korea's consumer prices rise 1% y/y in March despite virus outbreak
35,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=3,2020-04-02,Market wrap-up
36,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=4,2020-04-02,International humanitarian organizations send COVID-19 aid to N. Korea
37,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=4,2020-04-02,European nations condemn N.Korea's missile tests
38,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=4,2020-03-31,U.S. looks forward to sitting down with N. Korean leadership for nuclear talks: Pompeo
39,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=4,2020-03-30,N. Korea touts test-firing of 'super-large' rocket launchers; no mention of Kim Jong-un
40,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=4,2020-03-29,N. Korea fires two short-range ballistic missiles fired towards East Sea
41,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=4,2020-03-29,N. Korea fires two projectiles towards East Sea: S. Korea's JCS
42,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=4,2020-03-27,Pompeo hints N. Korea has not responded to U.S. offer for help on COVID-19 outbreak
43,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=4,2020-03-26,North Korea in the Era of COVID-19 Pandemic Dr. John Linton
44,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=4,2020-03-26,World needs to stay united in urging N. Korea to return to denuclearization talks: Pompeo
45,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=4,2020-03-23,  Observers speculate on Kim Yo-jong's elevated status within N. Korean regime following statement release
46,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=4,2020-03-23,U.S. willing to help countries like N. Korea and Iran in battle against COVID-19: Trump
47,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=4,2020-03-22,Kim Jong-un attends test of new tactical guided weapon; Trump sends letter to Kim
48,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=5,2020-04-03,The science behind keeping 2 meters of 'social distance'
49,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=5,2020-04-03,S. Korea marks 1 year anniversary of world's first 5G launch
50,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=5,2020-04-03,South Korean researchers succeed in 3D reconstruction of individual nanoparticles
51,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=5,2020-04-02,Quick and safe COVID-19 testing booths to be used more in S. Korea
52,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=5,2020-03-31,Technology taking over human jobs amid COVID-19 could cause long-term employment crisis: Fmr. World Bank Chief Economist
53,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=5,2020-03-30,  Cutting-edge ICT plays key role in halting spread of COVID-19
54,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=5,2020-03-30,S. Korea's first weather satellite Cheollian Satellite 1 ends its mission on April 1
55,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=5,2020-03-24,  Special Interview Drive Throu
56,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=5,2020-03-23,"How to cope with stress, anxiety amid COVID-19"
57,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=5,2020-03-23,"How to cope with stress, anxiety amid COVID-19"
58,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=5,2020-03-22,  How effective is copper in killing COVID-19?
59,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=5,2020-03-19,Working from home: COVID-19 may forever change S. Korea's rigid corporate culture
60,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=6,2020-04-03,K League football players interact with fans through social media
61,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=6,2020-03-30,Son Heung-min returns to S. Korea amid EPL's suspended season
62,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=6,2020-03-27,2020 Olympic postponement's knock-on effect for athletes and broadcasters
63,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=6,2020-03-27,"End of Olympic dream? Delayed Tokyo Olympics present headache for both athletes, organisers"
64,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=6,2020-03-25,Tokyo Summer Olympics postponed to next year amid COVID-19 outbreak
65,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=6,2020-03-25,2020 Tokyo Summer Olympics postponed one year amid COVID-19 outbreak
66,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=6,2020-03-24,2020 Olympics Postponement: Ramifications Around the Rings Ed Hula
67,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=6,2020-03-20,"2020 European Championships postponed, Korean footballer tests positive for COVID-19"
68,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=6,2020-03-20,IOC reconfirms to hold Tokyo Olympics as scheduled
69,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=6,2020-03-18,"  No plans for ""drastic"" decisions on 2020 Tokyo Summer Olympics: IOC"
70,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=6,2020-03-18,Euro 2020 postponed one year amid COVID-19 outbreak
71,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=6,2020-03-16,Majority of Japanese public believe Japan should postpone or cancel Olympics: Japanese surveys
72,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=7,2020-04-03,An expert's tips on how to beat the 'Corona Blues'
73,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=7,2020-04-03,  Touching Stories The last volunteer
74,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=7,2020-04-01,"2,022 COVID-19 patients released from quarantine after recovering at temporary care centers"
75,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=7,2020-04-01,Baek Hee-na first Korean to win Astrid Lindgren children's book award
76,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=7,2020-04-01,  Touching stories Nurse caputers scene into a webtoon
77,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=7,2020-03-31,Seoul districts helping seniors overcome 'corona blues'
78,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=7,2020-03-31,  Talk VCR Walk through testing center
79,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=7,2020-03-31,  Touching Stories Mask donation from China
80,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=7,2020-03-31,"Should you drink, smoke or deliver food when social distancing and staying home amid COVID-19?"
81,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=7,2020-03-31,Citizens suffering from the 'Corona Blues'; what are symptoms and what to do if you have it?
82,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=7,2020-03-30, Turekye SELFCAM  QUESTIONS PART2
83,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=7,2020-03-30,  Intro VCR
84,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=8,2020-04-03,Dry weather expected to continue until weekend
85,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=8,2020-04-03,"Big temperature swings, mild and sunny afternoon"
86,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=8,2020-04-03,Chilly start turns mild under bright skies
87,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=8,2020-04-02,"Dry weather to continue, 'normal' fine dust levels"
88,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=8,2020-04-02,Mostly dry with sunny spells
89,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=8,2020-04-02,"Dry, sunny and warm afternoon in store"
90,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=8,2020-04-02,"Chilly start, mild afternoon"
91,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=8,2020-04-01,Sunny and dry Thursday ahead
92,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=8,2020-04-01,"Dry and dusty in central western regions, warm highs"
93,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=8,2020-04-01,"Rain on east coast, warm highs"
94,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=8,2020-04-01,"Rain on Jeju and south coat in morning, warm temperatures"
95,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=8,2020-03-31,"More fine spring weather on Wednesday, rain on Jeju and south and east coasts"
96,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=9,2020-04-03,"U.S. senior official says defense cost-sharing negotiations between Seoul, Washington still underway"
97,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=9,2020-04-01,"S. Korea, U.S. close to defense cost-sharing deal: Sources"
98,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=9,2020-04-01,"S. Korea, U.S. close to defense cost-sharing deal: Sources"
99,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=9,2020-04-01,"S. Korea, U.S. may announce defense costs deal on Wednesday if early"
100,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=9,2020-03-31,S. Korean COVID-19 test kits soon to be exported to U.S.
101,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=9,2020-03-27,S. Korea's PM to hold press conference for foreign media outlets
102,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=9,2020-03-26,  USFK begins notifying S. Korean workers of furlough starting April 1
103,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=9,2020-03-25,Japanese ambassador summoned over Tokyo's approval of textbooks with false claims on Dokdo
104,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=9,2020-03-24,Japan approves school textbooks falsely claiming Dokdo as Japanese territory
105,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=9,2020-03-24,Seoul recommends people not to travel overseas until April 23
106,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=9,2020-03-24,School textbooks authorized by Tokyo expected to falsely claim Dokdo as Japanese territory
107,http://www.arirang.com/News/News_List.asp?sys_lang=Eng&category=9,2020-03-23,Seoul recommends people not to travel overseas until April 23
